Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Dom_Pax_Total,Int_Pax_Total,Pax_Total,status
MELBOURNE,AUG,1036291,1034569,420421.8,426595.6,2070860,847017.4,2917877.4,pre
MELBOURNE,DEC,1068255.8,1106679.8,461896.2,531078.8,2174935.6,992975,3167910.6,pre
MELBOURNE,FEB,949839,941300.6,430296,365990.2,1891139.6,796286.2,2687425.8,pre
MELBOURNE,JAN,1076234.8,1020135.2,511478.2,443404.2,2096370,954882.4,3051252.4,pre
MELBOURNE,JUL,1117913.2,1084279.2,492890.2,420994.4,2202192.4,913884.6,3116077,pre
MELBOURNE,JUN,940144.4,983259,368995.2,444142.4,1923403.4,813137.6,2736541,pre
MELBOURNE,MAR,1059711.6,1080294.4,399337.4,415301,2140006,814638.4,2954644.4,pre
MELBOURNE,MAY,979102.8,984662.4,357861.6,384552.8,1963765.2,742414.4,2706179.6,pre
MELBOURNE,NOV,1095445.6,1083385.8,419481.6,426633.4,2178831.4,846115,3024946.4,pre
MELBOURNE,OCT,1138344.4,1123496.8,475388.4,397389.6,2261841.2,872778,3134619.2,pre
MELBOURNE,SEP,1047666.8,1057201.2,428090.4,430632.8,2104868,858723.2,2963591.2,pre
NEWCASTLE,APR,50502,51271,0,0,101773,0,101773,pre
NEWCASTLE,AUG,50574.2,50189.6,0,0,100763.8,0,100763.8,pre
NEWCASTLE,DEC,53936.6,52801.6,445.8,497,106738.2,942.8,107681,pre
NEWCASTLE,FEB,44203,44627.2,123.8,95,88830.2,218.8,89049,pre
NEWCASTLE,JAN,50461.6,51241.8,315,255.6,101703.4,570.6,102274,pre
NEWCASTLE,JUL,53540.4,53941.8,0,0,107482.2,0,107482.2,pre
NEWCASTLE,JUN,47196,47155.8,0,0,94351.8,0,94351.8,pre
NEWCASTLE,MAR,51348.8,51334,0,0,102682.8,0,102682.8,pre
NEWCASTLE,MAY,49252.4,49499.8,0,0,98752.2,0,98752.2,pre
NEWCASTLE,NOV,53898,54169.4,112,128.6,108067.4,240.6,108308,pre
NEWCASTLE,OCT,56760.6,56575.2,0,0,113335.8,0,113335.8,pre
NEWCASTLE,SEP,52463.2,52888,0,0,105351.2,0,105351.2,pre
PERTH,APR,344222,346043.6,174010.4,183715.2,690265.6,357725.6,1047991.2,pre
PERTH,AUG,337332.2,332809.8,174684.8,172901.8,670142,347586.6,1017728.6,pre
PERTH,DEC,361630.6,349804.6,185741,229821.8,711435.2,415562.8,1126998,pre
PERTH,FEB,293683.8,298300.4,177000.2,147391.8,591984.2,324392,916376.2,pre
PERTH,JAN,340372.4,353942.6,235942.2,191385,694315,427327.2,1121642.2,pre
PERTH,JUL,357325.6,366977.6,210583,182088.2,724303.2,392671.2,1116974.4,pre
PERTH,JUN,317892.8,312445.2,155002.6,186106,630338,341108.6,971446.6,pre
PERTH,MAR,343434.6,338273,166959.4,173001.2,681707.6,339960.6,1021668.2,pre
PERTH,MAY,326983.6,329177.4,152507.6,162162.6,656161,314670.2,970831.2,pre
PERTH,NOV,344524,342964.6,169079.6,167844.2,687488.6,336923.8,1024412.4,pre
PERTH,OCT,366309.4,365712,205745.6,165129,732021.4,370874.6,1102896,pre
PERTH,SEP,340025.8,344637.8,182060.2,186461.8,684663.6,368522,1053185.6,pre
